# StochasticInstanton sample grid
# generated: 2026-06-23T16:11:41Z
# method: cartesian
# seed: 42
# n_requested: 500
# n_samples_generated: 180
# delta_nstar_range: [0.1, 3.0]
# delta_N_range: [0.5, 6.0]
# N_final: [20.0]
# N_init_max: 50.0
# total_rows: 180
N_init,N_final,delta_Nstar
22.00000000,20.00000000,0.50000000
23.00000000,20.00000000,0.50000000
24.00000000,20.00000000,0.50000000
26.00000000,20.00000000,0.50000000
22.00000000,20.00000000,0.75000000
23.00000000,20.00000000,0.75000000
24.00000000,20.00000000,0.75000000
26.00000000,20.00000000,0.75000000
22.00000000,20.00000000,1.00000000
23.00000000,20.00000000,1.00000000
24.00000000,20.00000000,1.00000000
26.00000000,20.00000000,1.00000000
22.00000000,20.00000000,1.25000000
23.00000000,20.00000000,1.25000000
24.00000000,20.00000000,1.25000000
26.00000000,20.00000000,1.25000000
22.00000000,20.00000000,1.50000000
23.00000000,20.00000000,1.50000000
24.00000000,20.00000000,1.50000000
26.00000000,20.00000000,1.50000000
22.00000000,20.00000000,1.75000000
23.00000000,20.00000000,1.75000000
24.00000000,20.00000000,1.75000000
26.00000000,20.00000000,1.75000000
22.00000000,20.00000000,2.00000000
23.00000000,20.00000000,2.00000000
24.00000000,20.00000000,2.00000000
26.00000000,20.00000000,2.00000000
22.00000000,20.00000000,2.25000000
23.00000000,20.00000000,2.25000000
24.00000000,20.00000000,2.25000000
26.00000000,20.00000000,2.25000000
22.00000000,20.00000000,2.50000000
23.00000000,20.00000000,2.50000000
24.00000000,20.00000000,2.50000000
26.00000000,20.00000000,2.50000000
22.00000000,20.00000000,2.75000000
23.00000000,20.00000000,2.75000000
24.00000000,20.00000000,2.75000000
26.00000000,20.00000000,2.75000000
22.00000000,20.00000000,3.00000000
23.00000000,20.00000000,3.00000000
24.00000000,20.00000000,3.00000000
26.00000000,20.00000000,3.00000000
22.00000000,20.00000000,3.50000000
23.00000000,20.00000000,3.50000000
24.00000000,20.00000000,3.50000000
26.00000000,20.00000000,3.50000000
22.00000000,20.00000000,4.00000000
23.00000000,20.00000000,4.00000000
24.00000000,20.00000000,4.00000000
26.00000000,20.00000000,4.00000000
22.00000000,20.00000000,4.50000000
23.00000000,20.00000000,4.50000000
24.00000000,20.00000000,4.50000000
26.00000000,20.00000000,4.50000000
22.00000000,20.00000000,5.00000000
23.00000000,20.00000000,5.00000000
24.00000000,20.00000000,5.00000000
26.00000000,20.00000000,5.00000000
22.00000000,20.00000000,5.50000000
23.00000000,20.00000000,5.50000000
24.00000000,20.00000000,5.50000000
26.00000000,20.00000000,5.50000000
22.00000000,20.00000000,6.00000000
23.00000000,20.00000000,6.00000000
24.00000000,20.00000000,6.00000000
26.00000000,20.00000000,6.00000000
22.00000000,20.00000000,6.50000000
23.00000000,20.00000000,6.50000000
24.00000000,20.00000000,6.50000000
26.00000000,20.00000000,6.50000000
22.00000000,20.00000000,7.00000000
23.00000000,20.00000000,7.00000000
24.00000000,20.00000000,7.00000000
26.00000000,20.00000000,7.00000000
22.00000000,20.00000000,7.50000000
23.00000000,20.00000000,7.50000000
24.00000000,20.00000000,7.50000000
26.00000000,20.00000000,7.50000000
22.00000000,20.00000000,8.00000000
23.00000000,20.00000000,8.00000000
24.00000000,20.00000000,8.00000000
26.00000000,20.00000000,8.00000000
22.00000000,20.00000000,8.50000000
23.00000000,20.00000000,8.50000000
24.00000000,20.00000000,8.50000000
26.00000000,20.00000000,8.50000000
22.00000000,20.00000000,9.00000000
23.00000000,20.00000000,9.00000000
24.00000000,20.00000000,9.00000000
26.00000000,20.00000000,9.00000000
22.00000000,20.00000000,9.50000000
23.00000000,20.00000000,9.50000000
24.00000000,20.00000000,9.50000000
26.00000000,20.00000000,9.50000000
22.00000000,20.00000000,10.00000000
23.00000000,20.00000000,10.00000000
24.00000000,20.00000000,10.00000000
26.00000000,20.00000000,10.00000000
22.00000000,20.00000000,10.50000000
23.00000000,20.00000000,10.50000000
24.00000000,20.00000000,10.50000000
26.00000000,20.00000000,10.50000000
22.00000000,20.00000000,11.00000000
23.00000000,20.00000000,11.00000000
24.00000000,20.00000000,11.00000000
26.00000000,20.00000000,11.00000000
22.00000000,20.00000000,11.50000000
23.00000000,20.00000000,11.50000000
24.00000000,20.00000000,11.50000000
26.00000000,20.00000000,11.50000000
22.00000000,20.00000000,12.00000000
23.00000000,20.00000000,12.00000000
24.00000000,20.00000000,12.00000000
